modelo,MAE,RMSE,R2,accuracy_semaforo_derivado
Random Forest Regressor,7.279492146185548,9.04462899653499,0.6817933412183241,0.8419753086419753
Gradient Boosting Regressor,6.850813914509463,8.57864402040445,0.7137371158528689,0.8074074074074075
Árbol de Decisión Regressor,10.818100930177353,13.544475057488626,0.286404496714329,0.7432098765432099
Lasso,12.98596509259097,15.570519980805,0.056951602383715216,0.6320987654320988
Ridge,12.994695770931262,15.575762790770513,0.056316420522430355,0.6320987654320988
ElasticNet,13.021001704979001,15.578140303934811,0.056028307330358906,0.6320987654320988
Regresión Lineal,12.991121099686795,15.586811810599283,0.05497709904488568,0.6320987654320988
